"Duree_Connexion","Octets_Source_Vers_Dest","Octets_Dest_Vers_Source","Taux_Paquets_Secondes","Fenetre_TCP_Moyenne","Ports_Dest_Distincts","Connexions_Simultanees","Taux_Erreur_CheckSum","Frequence_SYN_Flags","Statut_Menace"
19867.35,1717.17,6886.95,152.1,16384,121,5,0.0176,0.0577,"1"
5653.05,84122.51,6784.13,304.72,4096,3,1,9e-04,0.8362,"2"
75370.7,398.21,1517.13,26.16,65535,1,6,3e-04,0.0205,"0"
41802.02,2925.52,3046.91,27.91,1024,1,9,0.0038,0.0577,"0"
5536.9,1065.92,2297.7,137.72,1024,4,4,0.0311,0.0677,"0"
203706.48,7671.27,1849.17,119.2,2048,3,4,0.0037,0.0241,"0"
43408.38,2023.93,1969.91,130.42,65535,4,3,0.0032,0.1123,"0"
17089.56,1700.13,1903.77,131.02,1024,3,9,0.1866,0.1315,"3"
268547.2,2667.61,16407.57,34.89,8192,2,3,0.0426,0.0449,"0"
19186.59,1890.05,2222.52,100.73,1024,2,6,1e-04,0.1987,"0"
74646.24,683.09,10716.15,145.59,2048,2,7,0.0477,0.0488,"0"
56019.22,2680.02,1205.75,21.17,65535,2,9,0.012,0.0107,"0"
4520.45,5323.1,2649.17,93.26,1024,4,1,5e-04,0.0614,"0"
323234.06,4473.22,5449.42,92.73,65535,3,4,0.0457,0.1917,"0"
48222.26,48424.09,3161.14,344.52,4096,1,5,0.0298,0.9807,"2"
178612.73,1046.49,2933.09,125.63,65535,1,6,0.0452,0.1094,"0"
52968.96,1147.72,13321.91,60.28,4096,0,7,0.0107,0.0564,"0"
23534.65,2444.31,467.47,62.45,65535,4,3,0.1501,0.1281,"3"
71441.6,2183.28,4199.37,104.42,4096,2,2,0.0014,0.0533,"0"
93519.59,3622.53,2179.66,100.07,65535,3,2,0.0481,0.0418,"0"
66791.77,4608.2,1861.71,43.11,4096,3,5,0.032,0.111,"0"
75347.06,8241.66,4190.93,58.01,16384,1,4,0.0037,0.1379,"0"
262163.33,4371.21,1907.51,144.03,2048,2,8,0.0433,0.131,"0"
10173.88,4701.53,3131.78,99.81,1024,2,3,0.0079,0.086,"0"
6077.61,2743.56,1425.55,33.28,2048,2,3,0.0227,0.0826,"0"
174989.87,4480,3798.22,52.83,2048,3,3,0.0437,0.0973,"0"
8611.57,5957.15,4283.6,26.18,4096,2,9,0.0038,0.1247,"0"
41952.42,31292.35,1999.26,524.49,2048,2,9,0.0122,0.9993,"2"
25482.33,396.34,796.84,13.81,8192,1,5,0.0179,0.0035,"0"
47522.23,2298.8,4273.37,56.96,2048,1,4,0.0226,0.1765,"0"
37497.77,3487.48,3120.12,58.88,65535,150,4,0.0472,0.0135,"1"
144020.32,3546.98,4254.35,81.2,2048,1,5,0.0103,0.0865,"0"
10208.89,5456.16,4599.33,100.67,4096,3,3,0.0057,0.1232,"0"
91235.9,4781.29,3586.99,55.65,65535,2,1,0.0251,0.1935,"0"
18132.17,8629.74,3247.59,108.26,8192,1,7,0.0357,0.1753,"0"
21591.56,1848.21,1369.74,4.7,2048,3,3,0.0093,0.0489,"0"
24064.27,3375.32,15175.92,77.15,2048,3,3,0.0032,0.0938,"0"
162063.55,2642.85,2058.65,22.32,2048,0,6,1e-04,0.053,"0"
6970.87,5874.44,3772.42,23.41,65535,5,7,0.0323,0.1446,"0"
15786.7,5718.13,417.67,138.97,4096,3,5,0.0226,0.1518,"0"
64551.02,2500.81,5152.64,113.55,4096,1,9,0.0258,0.1424,"0"
120376.1,6871.19,3062.31,56.16,1024,0,10,0.0494,0.0016,"0"
13035.07,2181.43,5783.9,139.53,4096,2,3,2e-04,0.0701,"0"
54494.48,831.27,1085.45,110.44,8192,2,2,0.0449,0.1758,"0"
11626.08,1065.81,4446.55,139.9,4096,1,5,0.2117,0.1872,"3"
6455.12,2269.81,1168.96,94.19,2048,0,4,0.0216,0.0356,"0"
21811.58,5789.94,7290.03,88.87,65535,2,4,0.0013,0.0223,"0"
4180.66,1952.73,6112.06,23.51,2048,3,8,0.0404,0.0059,"0"
101199.76,1567.74,2799.93,76.11,8192,3,5,0.0365,0.0131,"0"
4283.11,58696.01,605.77,421.25,1024,3,4,0.0063,0.7283,"2"
28171.51,1439.32,6450.54,51.99,4096,1,6,0.0451,0.0483,"0"
3959.67,399.85,26.92,135.63,1024,3,7,0.007,0.1949,"0"
12046.95,1815.02,346.75,127.31,8192,4,2,0.048,0.0088,"0"
7008.99,1737.28,2134.94,79.18,8192,3,7,0.0391,0.1097,"0"
25026.62,5434.4,855.65,70.42,65535,0,5,0.0171,0.1412,"0"
41712.85,3204.51,6707.53,5.86,2048,1,9,0.0452,0.0945,"0"
53389.14,3097.24,2743.92,69.51,65535,2,7,0.0412,0.0083,"0"
52936.04,21026.87,4400.35,989.93,4096,3,2,0.0312,0.9706,"2"
28795.98,16399.1,2612.85,979.9,16384,2,4,0.0042,0.7266,"2"
57557.36,2452.07,1206.84,131.36,2048,3,6,0.0026,0.1374,"0"
16512.26,1089.74,909.55,93.8,16384,2,8,0.0313,0.0136,"0"
59219.71,4040.74,2743.94,16.12,8192,3,7,0.0045,0.1188,"0"
106815.07,6528.29,1467.89,124.45,4096,3,4,0.0267,0.1465,"0"
89725.76,5406.54,11455.43,85.56,8192,2,5,0.0261,0.0832,"0"
91699.17,1921.32,2258.73,91.35,1024,1,8,0.0223,0.0299,"0"
17342.76,886.63,3878.01,292.34,8192,163,5,0.0066,0.1434,"1"
10699.55,2465.72,5597.84,25.28,8192,4,1,0.0083,0.0265,"0"
36562.62,4149.85,2800.17,121.23,65535,2,9,0.0302,0.1509,"0"
9036.3,2863.39,2135.44,57.83,2048,182,6,0.0129,0.1225,"1"
66356,6109.91,6341.81,67.23,65535,2,9,0.0209,0.0872,"0"
3748.57,2979.03,2460.94,59.83,65535,5,8,0.0221,0.036,"0"
86629.65,5566.98,1660.89,2.65,2048,0,8,0.0403,0.1797,"0"
171157.3,2662.77,7867.69,131.65,16384,3,4,0.0429,0.0615,"0"
