Duree_Connexion,Octets_Source_Vers_Dest,Octets_Dest_Vers_Source,Taux_Paquets_Secondes,Fenetre_TCP_Moyenne,Ports_Dest_Distincts,Connexions_Simultanees,Taux_Erreur_CheckSum,Frequence_SYN_Flags
126868.81,5093.82,1737.69,139.96,2048,2,8.0,0.0039,0.1539
1363.06,263.33,5478.77,104.09,37888,1,9.0,0.046,0.1326
9672.69,3414.95,4526.08,125.95,37888,1,5.0,0.07894999999999999,0.1038
3366.0,9747.7075,2018.25,264.71000000000004,16384,1,3.0,0.0475,0.3319
7144.21,3289.43,1213.13,247.11,16384,6,2.0,0.0285,0.103
142985.03,3976.47,8415.22,77.83,1024,0,4.0,0.0161,0.1073
78600.01,3022.99,1990.4,72.16,2048,2,7.0,0.0471,0.1062
58303.51,5900.37,1476.27,146.45,2048,1,5.0,0.0036,0.0326
47401.97,2144.1,9663.64875,24.13,4096,1,6.0,0.0329,0.0007
35152.45,4307.27,5708.66,30.65,8192,0,5.0,0.0263,0.1744
85793.14,6066.47,5823.62,80.45,16384,0,7.0,0.0247,0.1488
13485.86,3381.0,2225.06,71.82,4096,1,5.0,0.0163,0.1211
26536.21,347.75,4492.94,233.86,8192,6,3.0,0.018,0.1047
74657.02,5056.74,5526.62,55.95,2048,2,4.0,0.0261,0.1282
29767.52,3394.46,659.68,18.3,8192,4,5.0,0.0339,0.172
21241.9,9747.7075,7154.49,228.9,8192,3,3.0,0.0439,0.3319
6167.89,5772.31,1546.36,144.02,1024,1,4.0,0.0473,0.1689
9632.32,1596.03,5064.7,51.12,1024,6,3.0,0.0414,0.0666
502.24,1239.47,1131.05,136.63,16384,1,4.0,0.027,0.0732
146424.37624999997,3624.97,1603.38,16.9,1024,3,5.0,0.0046,0.0805
138371.94,997.87,2728.26,143.33,4096,1,5.0,0.0,0.031
118354.47,6093.24,4601.95,84.58,16384,2,4.0,0.0314,0.1147
14241.13,9747.7075,410.24,257.63,4096,6,5.0,0.0174,0.089
56702.08,9747.7075,1885.19,264.71000000000004,4096,2,8.0,0.0327,0.3319
56674.49,1242.32,253.47,99.21,2048,6,3.0,0.0189,0.1086
45955.67,379.84,7192.7,119.87,8192,2,5.0,0.0316,0.1491
38913.92,2007.21,1809.14,123.49,4096,3,7.0,0.021,0.1992
67348.3,4352.13,3692.58,264.71000000000004,16384,6,4.0,0.0385,0.0614
9694.78,6466.92,2307.76,6.92,37888,4,5.0,0.0047,0.1215
645.75,4042.18,3457.21,41.39,8192,2,4.0,0.0434,0.1703
97106.34,1038.48,9663.64875,111.38,4096,3,2.0,0.0199,0.1049
87126.76,1115.22,346.14,94.06,16384,1,7.0,0.0365,0.12
69437.67,9747.7075,1923.56,264.71000000000004,1024,0,4.0,0.0271,0.3319
58618.45,2034.64,5478.58,94.74,37888,0,1.0,0.0134,0.1108
52336.38,3219.07,1027.51,79.6,8192,1,3.0,0.0077,0.1154
33389.31,2456.09,4781.99,115.66,2048,1,6.0,0.0358,0.0003
63906.39,1077.4,3241.97,113.86,8192,3,9.0,0.0014,0.0622
96515.53,5988.22,3269.61,105.52,16384,6,9.0,0.0362,0.0032
8819.08,3429.38,2993.82,85.73,1024,1,5.0,0.0042,0.1289
111147.77,1459.73,1876.76,39.57,37888,4,2.0,0.006,0.0529
33579.47,1295.28,1720.93,81.3,37888,2,4.0,0.0333,0.1144
23233.82,2431.84,2955.16,38.13,4096,1,6.0,0.0233,0.0937
61508.03,9747.7075,1518.79,264.71000000000004,37888,2,6.0,0.0306,0.3319
16340.31,2619.0,163.66,91.34,16384,4,6.0,0.0255,0.1819
6992.06,6267.94,7341.98,50.12,4096,1,4.0,0.07894999999999999,0.0367
4483.09,3341.67,4057.61,146.31,2048,2,9.0,0.0274,0.1568
2061.41,9747.7075,774.13,264.71000000000004,37888,2,6.0,0.02,0.3319
31862.27,2731.82,940.18,65.76,8192,3,9.0,0.0109,0.1877
25685.95,691.78,6019.36,145.56,16384,2,6.0,0.0185,0.0867
128853.52,2680.04,540.59,109.33,37888,3,5.0,0.0022,0.0182
7424.04,1179.53,3777.46,103.16,1024,6,6.0,0.0478,0.0555
17271.17,4062.44,2885.11,93.3,8192,2,4.0,0.0461,0.0466
12148.41,1389.31,1635.94,79.42,1024,2,5.0,0.0404,0.1613
17831.54,332.81,2945.5,91.63,2048,0,10.0,0.0447,0.1714
87809.32,940.59,1258.27,28.07,16384,1,4.0,0.0392,0.0511
18294.32,1947.6,6210.43,140.23,4096,0,8.0,0.0181,0.0971
42894.13,5027.2,6776.44,12.22,1024,3,7.0,0.0455,0.1956
106096.33,4774.34,3934.61,80.58,37888,0,8.0,0.0314,0.0954
85554.97,1430.51,1496.59,108.96,16384,1,5.0,0.0318,0.1125
54728.27,3660.14,2066.87,95.97,2048,6,2.0,0.0331,0.0704
60635.73,1911.16,7712.57,105.93,8192,3,7.0,0.0065,0.1548
20085.62,4215.49,498.31,138.85,8192,2,2.0,0.026,0.001
112102.33,1999.0,3965.78,141.05,16384,4,2.0,0.0173,0.062
9229.4,1126.4,1162.17,77.1,1024,6,5.0,0.0441,0.1315
60146.34,9747.7075,1351.66,220.4,16384,2,6.0,0.0004,0.3319
29591.47,4580.58,2165.28,4.92,16384,0,9.0,0.0496,0.009
57244.33,9747.7075,170.72,264.71000000000004,2048,2,10.5,0.0167,0.3319
48960.94,4786.13,1996.7,13.54,2048,3,8.0,0.0266,0.1013
36120.45,5900.03,4497.73,105.39,8192,0,4.0,0.0191,0.0662
48382.43,9747.7075,6382.15,264.71000000000004,37888,4,5.0,0.0053,0.3319
26070.22,2643.05,4078.2,74.85,37888,1,6.0,0.0375,0.0403
