log_data-ranges_min,log_data-ranges_std_deviation,log_data-types_count_par_sec,log_interval-messages,log_messages_count_par_sec,network_fragmented-packets_par_sec,network_interval-packets,network_ip-flags_min,network_ips_dst_count_par_sec,network_macs_all_count_par_sec,network_mss_min,network_packet-size_min,network_packets_dst_count_par_sec,network_payload-length_min,network_payload-length_std_deviation,network_ports_dst_count_par_sec,network_ports_src_count_par_sec,network_protocols_dst_count_par_sec,network_protocols_src_count_par_sec,network_tcp-flags-psh_count_par_sec,network_tcp-flags-rst_count_par_sec,network_tcp-flags-syn_count_par_sec,network_tcp-flags-urg_count_par_sec,network_tcp-flags_max,network_time-delta_max,network_time-delta_min,network_time-delta_std_deviation,network_ttl_min,network_ttl_std_deviation,network_window-size_min,label2
0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,2.0,2.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.031952,0.001015,0.0154684999999999,0.0,0.0,0.0,benign
22.5,0.0,1.0,0.0,7.0,0.0,1.0,0.0,2.0,2.0,0.0,54.0,4.0,0.0,31.4838748409404,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,24.0,0.002302,0.0,0.0009493974404852,64.0,95.5,5596.0,benign
22.3,0.0,1.0,0.0,7.0,0.0,1.0,0.0,2.0,2.0,0.0,54.0,4.0,0.0,43.15940656450225,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,24.0,0.002813,0.0,0.0011466311525508,64.0,95.5,5626.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,24.11764705882353,0.0,11.0,11.0,0.0,54.0,17.0,0.0,393.2235133210772,12.0,12.0,3.0,2.0,17.0,0.0,0.0,0.0,24.0,0.12359,0.0,0.023417398662132,61.0,94.6713930026448,660.0,benign
108.0,0.0,1.0,0.0,2.0,0.0,1.3333333333333333,0.0,2.0,2.0,0.0,54.0,2.0,0.0,11.0227038425243,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,24.0,0.036236,0.0,0.0153538465111352,64.0,95.5,5636.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0090320180640361,0.0,1.0,1.1428571428571428,0.0,60.0,110536.14285714286,0.0,0.0784008908314538,116.0,9416.57142857143,0.2857142857142857,0.2857142857142857,110535.71428571428,115.85714285714286,0.0,0.0,24.0,0.000551437,2.5e-08,5.0012475160253024e-05,64.0,6.180347244986945,512.0,ddos
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,214.0,0.0,180.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.038691,0.038691,0.0,255.0,0.0,0.0,benign
-0.7,0.5921899094791204,2.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,54.0,2.0,0.0,19.327585352432298,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.002853,0.0,0.0013449170978168,64.0,90.03826347108705,5626.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0378607589459564,0.0,0.4285714285714285,0.5714285714285714,0.0,60.0,26411.571428571428,0.0,0.0,0.1428571428571428,9416.57142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.001476345,-3.5e-08,0.0001067342158237,64.0,0.0,512.0,dos
1023.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,54.0,1.0,0.0,9.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,24.0,0.042539,0.0,0.0212695,64.0,95.5,5646.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,230.0,0.0,196.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.106776,0.106776,0.0,255.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,7.246305418719212,0.0,0.4285714285714285,0.5714285714285714,1460.0,60.0,55.0,0.0,0.7699178121721825,32.57142857142857,31.857142857142858,0.1428571428571428,0.4285714285714285,0.1428571428571428,31.714285714285715,54.71428571428572,0.0,24.0,0.096832478,3.2e-08,0.009202194046945,37.0,99.81616190203114,1024.0,recon
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,214.0,0.0,180.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001605,0.001605,0.0,255.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.073438,0.073438,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,benign
