Duree_Connexion,Octets_Source_Vers_Dest,Octets_Dest_Vers_Source,Taux_Paquets_Secondes,Fenetre_TCP_Moyenne,Ports_Dest_Distincts,Connexions_Simultanees,Taux_Erreur_CheckSum,Frequence_SYN_Flags
129919.46,1749.93,2563.13,52.18,65535,3,6,0.0001,0.0789
12746.9,736.79,961.39,31.56,16384,3,2,0.0314,0.0113
161707.6,2691.02,994.89,63.59,2048,2,6,0.0089,0.0288
55671.62,4678.77,3351.59,128.74,16384,4,11,0.0186,0.1996
4196.43,4165.29,1386.08,20.67,16384,1,5,0.0116,0.0548
3066.42,775.14,10658.83,57.91,4096,2,6,0.0033,0.1419
674.37,2839.37,137.26,299.7,16384,91,7,0.0316,0.039
20674.39,46117.86,1266.29,660.32,65535,2,5,0.0232,0.8184
57336.72,7155.21,1483.19,117.28,1024,3,3,0.0353,0.0127
74402.29,1788.6,1638.01,98.8,65535,2,8,0.021,0.1732
771.55,23172.51,5938.32,845.71,16384,4,3,0.0208,0.7919
17106.39,3831.88,5508.39,282.88,1024,66,2,0.0371,0.1865
10143.9,5688.66,6943.51,112.53,2048,1,3,0.0324,0.0915
30855.89,1177.81,4861.89,148.33,16384,0,6,0.0205,0.0034
49390.78,4427.08,11974.61,86.09,1024,3,4,0.0181,0.1665
12766.11,5616.09,1036.86,100.67,2048,0,7,0.0011,0.0243
7253.33,2328.28,1151.36,123.53,2048,2,7,0.004,0.127
18940.66,4890.76,4704.49,20.71,1024,1,7,0.0226,0.1627
28949.49,8168.19,311.16,59.4,8192,1,5,0.0194,0.0165
102786.38,4964.07,6046.13,126.02,1024,2,2,0.0313,0.1399
179041.2,912.08,1032.86,144.0,2048,3,7,0.0492,0.0387
2163.8,14483.03,290.31,682.82,16384,3,6,0.0081,0.7234
139051.16,2927.71,5558.02,124.2,16384,1,7,0.0259,0.043
59396.12,4211.36,2197.92,131.29,1024,3,6,0.0219,0.1841
96126.32,6434.77,3573.92,124.39,4096,3,4,0.0071,0.1058
16744.28,5663.52,2845.8,71.25,65535,3,13,0.0098,0.1163
53081.88,2769.46,4572.73,162.75,2048,175,10,0.013,0.123
31903.59,1779.56,2633.12,70.52,65535,80,1,0.0089,0.0526
90589.74,2747.52,563.15,96.27,1024,1,4,0.0311,0.1755
41348.89,89344.32,1818.34,379.99,2048,1,4,0.0349,0.9393
1801.57,1974.31,7136.06,211.96,65535,26,4,0.0131,0.1941
223.74,49598.65,2369.73,787.49,4096,1,4,0.0056,0.7193
49704.31,785.47,7435.8,124.21,2048,0,3,0.0035,0.1886
8871.5,7113.15,6774.54,265.01,8192,189,7,0.0429,0.0617
34498.76,1494.88,2959.32,110.44,8192,0,3,0.0107,0.1649
78820.52,1317.83,7998.57,111.44,1024,4,4,0.0327,0.1718
48698.9,3751.26,3660.87,86.17,4096,1,6,0.0208,0.0587
4781.25,920.07,6873.68,71.36,1024,192,7,0.0185,0.1597
29644.1,1110.95,2014.03,103.25,4096,0,1,0.3182,0.1614
4794.83,1339.4,1487.38,55.91,16384,1,9,0.022,0.0747
17389.71,960.83,6125.6,125.54,8192,0,7,0.1688,0.0857
4724.13,1451.87,953.22,36.11,16384,1,3,0.0226,0.1555
3435.67,1108.62,9652.1,115.8,16384,2,5,0.0495,0.0585
26512.05,1285.41,2236.34,67.35,16384,1,1,0.0327,0.0594
9555.91,642.87,4602.3,139.09,16384,1,5,0.004,0.1776
123394.13,4276.16,2509.28,85.33,2048,2,3,0.0298,0.1193
107439.11,4778.57,715.12,129.97,1024,3,2,0.0268,0.1289
9675.96,46489.55,2211.85,750.22,1024,0,7,0.0317,0.7368
90431.72,36659.31,1500.91,939.45,16384,3,2,0.0037,0.8116
13217.49,174.32,513.87,33.24,4096,1,4,0.0326,0.1824
