Duree_Connexion,Octets_Source_Vers_Dest,Octets_Dest_Vers_Source,Taux_Paquets_Secondes,Fenetre_TCP_Moyenne,Ports_Dest_Distincts,Connexions_Simultanees,Taux_Erreur_CheckSum,Frequence_SYN_Flags,Horodatage,Pays,Departement,Appareil
129919.46,1749.93,2563.13,52.18,65535,3,6,0.0001,0.0789,2026-08-17 01:14:57,Cote d'Ivoire,Support Client,Laptop
12746.9,736.79,961.39,31.56,16384,3,2,0.0314,0.0113,2026-08-21 15:19:24,Cote d'Ivoire,Finance,Serveur
161707.6,2691.02,994.89,63.59,2048,2,6,0.0089,0.0288,2026-08-17 04:33:43,Nigeria,Support Client,Mobile
55671.62,4678.77,3351.59,128.74,16384,4,11,0.0186,0.1996,2026-08-17 15:22:50,Nigeria,Finance,Laptop
4196.43,4165.29,1386.08,20.67,16384,1,5,0.0116,0.0548,2026-08-20 00:43:21,Senegal,Finance,Laptop
3066.42,775.14,10658.83,57.91,4096,2,6,0.0033,0.1419,2026-08-22 21:55:37,Russie,Support Client,Serveur
674.37,2839.37,137.26,299.7,16384,91,7,0.0316,0.039,2026-08-20 04:17:43,Etats-Unis,RH,Laptop
20674.39,46117.86,1266.29,660.32,65535,2,5,0.0232,0.8184,2026-08-22 08:37:38,Chine,IT,Firewall
57336.72,7155.21,1483.19,117.28,1024,3,3,0.0353,0.0127,2026-08-17 10:45:58,Nigeria,Finance,Mobile
74402.29,1788.6,1638.01,98.8,65535,2,8,0.021,0.1732,2026-08-21 18:49:28,Cote d'Ivoire,Direction,Mobile
771.55,23172.51,5938.32,845.71,16384,4,3,0.0208,0.7919,2026-08-17 12:54:49,Chine,Finance,Firewall
17106.39,3831.88,5508.39,282.88,1024,66,2,0.0371,0.1865,2026-08-22 07:17:16,Ghana,IT,Firewall
10143.9,5688.66,6943.51,112.53,2048,1,3,0.0324,0.0915,2026-08-22 10:28:17,Cote d'Ivoire,Support Client,Mobile
30855.89,1177.81,4861.89,148.33,16384,0,6,0.0205,0.0034,2026-08-22 09:45:29,Cote d'Ivoire,Finance,Serveur
49390.78,4427.08,11974.61,86.09,1024,3,4,0.0181,0.1665,2026-08-19 18:27:32,France,IT,Laptop
12766.11,5616.09,1036.86,100.67,2048,0,7,0.0011,0.0243,2026-08-17 20:46:56,Russie,Direction,Firewall
7253.33,2328.28,1151.36,123.53,2048,2,7,0.004,0.127,2026-08-22 22:04:37,Senegal,IT,Laptop
18940.66,4890.76,4704.49,20.71,1024,1,7,0.0226,0.1627,2026-08-23 03:16:25,Ghana,IT,Mobile
