Montant,Ecart_Montant_Habituel,Nouveau_Destinataire,Heure_Transaction,Frequence_Transactions_24h,Delai_Depuis_Derniere_Min,Nb_Destinataires_Distincts_7j,Changement_Appareil,Fraude
15646.0,1.183127343777115,0,8.0,0,943.7,3,0,0
15841.0,1.3071770159935587,0,8.0,0,103.0,0,0,0
18163.0,1.0167169127111937,1,23.0,1,593.5,2,0,0
47822.0,0.8767858340740284,0,13.0,1,238.3,1,0,0
35396.0,1.1303521812283834,0,10.0,0,144.5,1,0,0
7562.0,1.3968928766895103,0,17.0,2,488.8,0,0,0
20282.0,1.6361916931880245,0,2.0,0,532.8,1,0,0
18112.0,0.5627353941821024,0,13.0,2,269.3,1,0,0
8237.0,1.3644203873727874,0,18.0,2,978.1,2,0,0
7977.0,0.7982044087583655,0,18.0,1,77.6,2,0,0
7638.0,0.9996488480794212,1,13.0,1,265.1,3,0,0
13884.0,1.0341710338860752,0,19.0,0,281.4,1,0,0
15782.0,1.1566694706129865,0,22.0,1,91.5,2,0,0
15699.0,0.9376221199154776,1,8.0,4,40.1,1,0,1
6226.0,0.9874207926818224,0,14.0,1,620.4,3,0,1
2964.0,0.9584698560426319,0,10.0,1,91.9,1,0,0
37082.0,7.526702320668281,1,5.0,8,13.8,8,0,1
3550.0,1.5889224596855271,0,19.0,2,233.8,5,0,0
9554.0,1.0033803565317165,0,11.0,1,1698.2,3,0,0
17762.0,1.143482653841607,0,14.0,0,99.0,3,0,0
8981.0,1.196662167496412,0,14.0,2,819.7,2,0,0
9618.0,0.9654550650317759,0,17.0,0,595.8,3,0,0
3676.0,0.9330909172301846,0,17.0,4,184.8,2,0,1
41021.0,5.248126456907923,0,1.0,2,50.6,7,1,1
5067.0,0.8560272457425169,0,11.0,0,124.0,4,0,0
17693.0,0.7017400604386417,0,18.0,3,445.3,2,0,0
26130.0,4.669340237360326,1,0.0,7,13.2,10,1,1
3047.0,0.788039982305568,0,13.0,0,594.4,3,0,0
5676.0,1.1251720628708048,0,14.0,2,30.7,2,0,0
13713.0,0.64139477524811,0,9.0,2,1143.3,0,0,0
13158.0,1.0732109399845169,0,8.0,3,859.2,0,0,0
65386.0,2.2263690786143147,1,3.0,3,7.3,5,1,1
12248.0,1.1485370116014837,0,14.0,3,260.7,2,0,0
4935.0,1.277281672412112,0,12.0,0,817.2,1,0,0
14156.0,0.6312432621402552,0,11.0,1,516.7,2,0,0
7236.0,1.0000854722695685,0,13.0,3,606.7,1,0,0
19830.0,1.2014478990772135,1,10.0,1,1051.0,3,0,0
16054.0,1.1523964203531651,1,17.0,2,180.2,1,0,0
10621.0,0.9564812586563349,0,13.0,5,589.5,0,0,0
4263.0,1.351541513773079,0,15.0,4,182.8,2,0,0
2720.0,1.5052255001152446,0,15.0,1,267.4,3,0,0
11376.0,1.0729653008900513,0,17.0,0,299.5,2,0,0
28695.0,1.053122804233496,0,9.0,1,612.8,6,0,0
4004.0,0.9033595732833376,0,14.0,2,278.9,3,0,0
12683.0,0.7714926609132922,0,20.0,0,521.9,1,0,0
9557.0,1.4451820932794774,0,14.0,0,137.9,2,0,0
6335.0,1.3157561441952559,0,12.0,1,1634.8,3,0,0
13382.0,0.9442637909302212,0,20.0,4,1001.1,5,0,0
19872.0,1.04438529963676,0,13.0,4,247.1,2,0,0
16151.0,1.4150151832190776,0,14.0,1,329.3,2,0,0
29949.0,1.2168501110946255,0,14.0,2,422.6,0,0,0
9594.0,0.8254149253569172,0,14.0,3,219.9,4,0,0
7059.0,0.8447670954616718,0,19.0,2,526.0,1,0,0
10818.0,1.3336628179195011,0,3.0,1,534.1,2,1,0
7643.0,0.49819296555236026,0,13.0,2,1357.2,1,0,0
32953.0,3.5160874637625774,1,0.0,4,4.9,6,0,1
